CustomerID,Lookalikes
C0001,"[('C0091', 0.9870773697301319), ('C0069', 0.979454959557427), ('C0184', 0.978615166473417)]"
C0002,"[('C0159', 0.9811961099678463), ('C0036', 0.9674065707120172), ('C0129', 0.9261853038443425)]"
C0003,"[('C0007', 0.9964175162588933), ('C0085', 0.9634137741487433), ('C0166', 0.9491391324611668)]"
C0004,"[('C0075', 0.9818806083212832), ('C0090', 0.9232288912668758), ('C0065', 0.9042020388041746)]"
C0005,"[('C0197', 0.9756610926144327), ('C0166', 0.9578692755025646), ('C0085', 0.9570098544147655)]"
C0006,"[('C0169', 0.9702116714576109), ('C0081', 0.9011756462681114), ('C0185', 0.8891420921807295)]"
C0007,"[('C0003', 0.9964175162588933), ('C0085', 0.9798771028947738), ('C0166', 0.9539055355261826)]"
C0008,"[('C0143', 0.9782735792231853), ('C0170', 0.9562568734119642), ('C0158', 0.9223840615131554)]"
C0009,"[('C0032', 0.9893445293326818), ('C0058', 0.9829968431171084), ('C0150', 0.9792165145943673)]"
C0010,"[('C0029', 0.9982316971228951), ('C0062', 0.985167355679422), ('C0111', 0.9824539176597117)]"
C0011,"[('C0016', 0.9620200612252672), ('C0117', 0.9541013370014856), ('C0074', 0.9142223922040582)]"
C0012,"[('C0148', 0.9870218385553292), ('C0113', 0.9518842702440786), ('C0162', 0.9378011599588475)]"
C0013,"[('C0046', 0.982759190437648), ('C0099', 0.9560261137468604), ('C0175', 0.9228323987355059)]"
C0014,"[('C0151', 0.9989485513800209), ('C0097', 0.9963430160275359), ('C0060', 0.9939756131654778)]"
C0015,"[('C0071', 0.9845077973039106), ('C0121', 0.9844512960852458), ('C0025', 0.9794283864430496)]"
C0016,"[('C0011', 0.9620200612252672), ('C0117', 0.9247388172076367), ('C0153', 0.8543216901000928)]"
C0017,"[('C0122', 0.9116608483977238), ('C0065', 0.8848243757260659), ('C0179', 0.8535701304690849)]"
C0018,"[('C0023', 0.9838819244261061), ('C0168', 0.9786424386330759), ('C0068', 0.972721630635977)]"
C0019,"[('C0035', 0.9476721688801012), ('C0177', 0.9305515838474009), ('C0063', 0.8832849942982728)]"
C0020,"[('C0130', 0.9872061300206368), ('C0094', 0.9739572260973535), ('C0032', 0.9576371638240339)]"
